Sample_number,Bulk_Hole_No,From (m),To (m),Sample_Thickness (m),Lump (%), Fines (%),L/F Ratio,Dry Weight Lump (kg),Dry Weight Fines (kg),Moisture (%),Fe,SiO2,Al2O3,TiO2,MnO,CaO,P,S ,MgO,K2O,Na2O,LOI371,LOI650,LOI1000,LOITotal,Fe_Lump,SiO2_Lump,Al2O3_Lump,TiO2_Lump,MnO_Lump,CaO_Lump,P_Lump,S _Lump,MgO_Lump,K2O_Lump,Na2O_Lump,LOI371_Lump,LOI650_Lump,LOI1000_Lump,LOITotal_Lump,Fe_Head,SiO2_Head,Al2O3_Head,TiO2_Head,MnO_Head,CaO_Head,P_Head,S _Head,MgO_Head,K2O_Head,Na2O_Head,LOI371_Head,LOI650_Head,LOI1000_Head,LOITotal_Head
30198,CBS03,17.6,18.15,0.55,13.0,87.0,0.150,,,,59.40,3.41,1.83,0.086,0.33,0.07,0.082,0.032,0.13,0.01,0.05,7.88,0.76,0.24,8.88,62.17,2.68,0.72,0.018,0.1,0.02,0.047,0.011,0.04,0.01,0.02,6.45,0.53,0.22,7.2,59.76,3.32,1.69,0.08,0.30,0.06,0.08,0.03,0.12,0.01,0.05,7.69,0.73,0.24,8.66
30199,CBS03,18.15,18.7,0.55,12.5,87.5,0.143,,,,60.54,2.93,1.62,0.072,0.23,0.07,0.078,0.025,0.12,0.01,0.05,7.37,0.68,0.23,8.28,63.77,1.58,0.53,0.013,0.08,0.04,0.045,0.008,0.05,0.0,0.01,5.91,0.48,0.18,6.57,60.94,2.76,1.48,0.06,0.21,0.07,0.07,0.02,0.11,0.01,0.05,7.19,0.66,0.22,8.07
30200,CBS03,18.7,19.1,0.4,15.2,84.8,0.179,,,,60.24,2.76,1.68,0.07,0.18,0.07,0.085,0.029,0.12,0.01,0.05,7.62,0.74,0.25,8.61,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30201,CBS03,19.1,19.7,0.6,13.7,86.3,0.159,,,,60.36,2.73,1.59,0.065,0.14,0.07,0.084,0.026,0.1,0.01,0.05,7.53,0.67,0.21,8.41,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30202,CBS03,19.7,20.2,0.5,16.4,83.6,0.196,,,,58.36,5.21,2.24,0.087,0.12,0.06,0.086,0.023,0.1,0.03,0.05,7.3,0.86,0.21,8.37,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30203,CBS03,20.2,20.6,0.4,15.0,85.0,0.177,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30218,CBS04,6.5,7.0,0.5,15.6,84.4,0.185,,,,,,,,,,,,,,,,,,0.0,55.7,9.46,2.33,0.082,0.18,0.06,0.027,0.023,0.05,0.01,0.02,6.76,0.92,0.26,7.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30219,CBS04,7.0,7.5,0.5,19.6,80.4,0.243,,,,59.19,5.06,1.98,0.074,0.13,0.11,0.03,0.021,0.05,0.03,0.02,6.92,0.86,0.25,8.03,60.65,4.04,1.03,0.03,0.09,0.03,0.022,0.013,0.03,0.01,0.01,7.02,0.66,0.15,7.83,59.48,4.86,1.79,0.07,0.12,0.09,0.03,0.02,0.05,0.03,0.01,6.94,0.82,0.23,7.99
30220,CBS04,7.5,7.8,0.3,22.3,77.7,0.287,5.31,15.8,0.97,59.73,4.32,1.61,0.052,0.09,0.07,0.028,0.02,0.05,0.02,0.0,6.83,0.84,0.26,7.93,61.8,3.13,0.82,0.024,0.07,0.02,0.02,0.009,0.02,0.0,0.0,6.85,0.62,0.16,7.63,60.19,4.05,1.43,0.05,0.09,0.06,0.03,0.02,0.04,0.01,-,6.83,0.79,0.24,7.86
30221,CBS04,7.8,8.2,0.4,18.9,81.1,0.233,4.33,15.95,1.09,60.15,3.64,1.77,0.061,0.09,0.07,0.03,0.021,0.06,0.02,0.0,7.04,0.81,0.25,8.1,62.18,2.16,0.93,0.029,0.08,0.02,0.021,0.011,0.02,0.0,0.0,7.12,0.65,0.14,7.91,60.53,3.36,1.61,0.05,0.09,0.06,0.03,0.02,0.05,0.01,-,7.06,0.78,0.23,8.06
30222,CBS04,8.2,9.0,0.8,17.4,82.6,0.210,3.90,15.8,1.3,60.59,2.85,1.63,0.057,0.08,0.12,0.041,0.019,0.06,0.01,0.0,7.2,0.83,0.23,8.26,61.96,2.47,0.9,0.03,0.06,0.03,0.032,0.011,0.02,0.01,0.01,7.06,0.61,0.11,7.78,60.83,2.78,1.50,0.05,0.08,0.10,0.04,0.02,0.05,0.01,0.00,7.18,0.79,0.21,8.18
30223,CBS04,9.0,9.2,0.2,24.5,75.5,0.324,6.03,15.8,1.25,60.14,3.05,1.57,0.05,0.1,0.16,0.047,0.016,0.08,0.01,0.0,7.45,0.85,0.21,8.51,61.94,2.49,0.8,0.023,0.05,0.03,0.032,0.008,0.02,0.0,0.0,7.11,0.62,0.08,7.81,60.58,2.91,1.38,0.04,0.09,0.13,0.04,0.01,0.07,0.01,-,7.37,0.79,0.18,8.34
30224,CBS04,9.2,9.5,0.3,21.2,78.8,0.270,5.01,15.05,1.05,60.79,3.26,1.31,0.04,0.09,0.13,0.035,0.012,0.06,0.01,0.0,7.09,0.77,0.16,8.02,61.71,3.32,0.7,0.02,0.05,0.03,0.026,0.006,0.02,0.0,0.01,7.03,0.58,0.08,7.69,60.99,3.27,1.18,0.04,0.08,0.11,0.03,0.01,0.05,0.01,0.00,7.08,0.73,0.14,7.95
30225,CBS04,9.5,9.9,0.4,17.4,82.6,0.211,3.94,15.82,0.62,59.74,4.53,1.34,0.045,0.11,0.16,0.034,0.012,0.07,0.01,0.0,7.14,0.79,0.18,8.11,60.1,5.21,0.72,0.022,0.06,0.02,0.025,0.006,0.03,0.01,0.01,6.93,0.58,0.11,7.62,59.80,4.65,1.23,0.04,0.10,0.14,0.03,0.01,0.06,0.01,-,7.10,0.75,0.17,8.02
30226,CBS04,9.9,10.5,0.6,20.3,79.7,0.255,4.76,15.15,0.58,60.30,4.42,1.19,0.037,0.09,0.17,0.035,0.008,0.05,0.01,0.0,6.77,0.83,0.18,7.78,60.45,5.46,0.61,0.018,0.05,0.02,0.025,0.005,0.02,0.0,0.01,6.45,0.54,0.09,7.08,60.33,4.63,1.07,0.03,0.08,0.14,0.03,0.01,0.04,0.01,-,6.71,0.77,0.16,7.64
30227,CBS04,10.5,11.0,0.5,17.0,83.0,0.204,3.85,15.89,0.66,60.48,3.39,1.36,0.05,0.09,0.09,0.037,0.012,0.06,0.01,0.0,7.14,0.73,0.17,8.04,61.64,3.34,0.74,0.021,0.06,0.02,0.029,0.008,0.03,0.0,0.0,6.91,0.57,0.1,7.58,60.68,3.38,1.25,0.05,0.08,0.08,0.04,0.01,0.05,0.01,0.00,7.10,0.70,0.16,7.96
30228,CBS04,11.0,11.5,0.5,21.7,78.3,0.278,5.20,15.8,0.73,59.86,3.91,1.46,0.053,0.16,0.06,0.039,0.013,0.11,0.01,0.0,7.57,0.76,0.17,8.5,61.34,3.18,0.76,0.022,0.08,0.02,0.03,0.007,0.05,0.01,0.01,7.41,0.58,0.1,8.09,60.18,3.75,1.31,0.05,0.14,0.05,0.04,0.01,0.10,0.01,-,7.54,0.72,0.15,8.41
30229,CBS04,11.5,11.8,0.3,19.9,80.1,0.249,4.66,15.8,0.7,60.24,3.1,1.47,0.053,0.13,0.05,0.038,0.012,0.11,0.01,0.0,7.76,0.76,0.16,8.68,62.05,2.05,0.65,0.017,0.07,0.02,0.027,0.004,0.03,0.0,0.0,7.62,0.6,0.08,8.3,60.60,2.89,1.31,0.05,0.12,0.04,0.04,0.01,0.09,0.01,-,7.73,0.73,0.14,8.60
30230,CBS04,11.8,12.0,0.2,19.3,80.7,0.238,4.45,15.8,0.77,59.74,3.79,1.62,0.07,0.22,0.08,0.043,0.012,0.2,0.02,0.0,7.47,0.76,0.16,8.39,62.2,2.21,0.73,0.022,0.08,0.02,0.033,0.007,0.04,0.0,0.01,7.36,0.55,0.12,8.03,60.21,3.49,1.45,0.06,0.19,0.07,0.04,0.01,0.17,0.01,0.00,7.45,0.72,0.15,8.32
30231,CBS04,12.0,12.7,0.7,19.7,80.3,0.245,4.63,15.8,0.62,61.08,2.54,1.41,0.056,0.12,0.05,0.049,0.012,0.11,0.01,0.01,7.34,0.73,0.18,8.25,62.77,1.55,0.61,0.018,0.06,0.01,0.035,0.005,0.03,0.0,0.0,7.06,0.51,0.11,7.68,61.41,2.34,1.25,0.05,0.11,0.04,0.05,0.01,0.09,0.01,0.01,7.28,0.69,0.17,8.14
30232,CBS04,12.7,13.0,0.3,20.9,79.1,0.265,4.93,15.85,0.69,59.75,3.14,1.92,0.061,0.14,0.17,0.043,0.014,0.12,0.01,0.0,7.52,0.92,0.15,8.59,61.92,1.8,0.92,0.025,0.09,0.06,0.033,0.014,0.04,0.0,0.0,7.38,0.48,0.3,8.16,60.20,2.86,1.71,0.05,0.13,0.15,0.04,0.01,0.10,0.01,-,7.49,0.83,0.18,8.50
30233,CBS04,13.0,13.2,0.2,0.0,-,-,1.92,15.9,0.7,61.14,2.66,1.25,0.041,0.2,0.06,0.037,0.013,0.11,0.01,0.0,6.89,0.7,0.17,7.76,62.39,2.36,0.65,0.019,0.1,0.05,0.028,0.009,0.04,0.0,0.01,6.55,0.5,0.16,7.21,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30234,CBS04,13.2,13.9,0.7,18.0,82.0,0.219,4.12,15.89,0.49,60.66,2.85,1.3,0.045,0.24,0.04,0.038,0.014,0.1,0.01,0.01,7.31,0.74,0.2,8.25,61.87,2.55,0.68,0.019,0.23,0.02,0.03,0.018,0.04,0.01,0.01,7.14,0.63,0.2,7.97,60.88,2.80,1.19,0.04,0.24,0.04,0.04,0.01,0.09,0.01,0.01,7.28,0.72,0.20,8.20
30235,CBS04,13.9,14.4,0.5,0.0,-,-,,15.85,1.12,61.17,2.15,1.33,0.04,0.13,0.06,0.036,0.014,0.07,0.01,0.0,7.63,0.75,0.2,8.58,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30236,CBS04,14.4,15.0,0.6,21.3,78.7,0.270,5.08,15.8,0.62,60.50,2.4,1.75,0.044,0.11,0.05,0.04,0.015,0.08,0.01,0.0,7.75,0.81,0.18,8.74,61.48,1.57,0.99,0.02,0.09,0.02,0.036,0.008,0.04,0.0,0.0,8.09,0.68,0.16,8.93,60.70,2.22,1.58,0.04,0.11,0.04,0.04,0.01,0.07,0.01,0.00,7.82,0.78,0.18,8.78
30237,CBS04,15.0,15.4,0.4,20.4,79.6,0.256,4.86,15.8,0.62,60.19,2.55,1.69,0.05,0.1,0.05,0.039,0.013,0.08,0.01,0.01,8.04,0.79,0.18,9.01,61.81,1.61,0.88,0.022,0.07,0.02,0.031,0.009,0.04,0.0,0.01,8.29,0.69,0.18,9.16,60.52,2.36,1.52,0.04,0.09,0.04,0.04,0.01,0.07,0.01,0.01,8.09,0.77,0.18,9.04
30238,CBS04,15.4,15.9,0.5,16.4,83.6,0.197,,,,57.00,4.19,2.87,0.071,0.72,0.08,0.029,0.015,0.21,0.03,0.02,8.97,0.95,0.23,10.15,59.39,2.31,2.02,0.04,0.4,0.04,0.029,0.013,0.09,0.01,0.01,9.07,0.79,0.17,10.03,57.39,3.88,2.73,0.07,0.67,0.07,0.03,0.01,0.19,0.03,0.02,8.99,0.92,0.22,10.13
30239,CBS04,15.9,16.5,0.6,23.9,76.1,0.315,,,,59.32,3.19,2.21,0.043,0.31,0.08,0.035,0.017,0.15,0.02,0.01,7.6,0.86,0.23,8.69,61.78,1.96,1.24,0.021,0.11,0.04,0.034,0.011,0.06,0.01,0.01,7.07,0.71,0.2,7.98,59.91,2.90,1.98,0.04,0.26,0.07,0.03,0.02,0.13,0.01,0.01,7.47,0.82,0.22,8.52
30240,CBS04,16.5,17.0,0.5,17.9,82.1,0.218,,,,60.49,2.79,1.73,0.049,0.17,0.06,0.041,0.013,0.07,0.02,0.01,7.5,0.78,0.19,8.47,61.73,1.91,0.96,0.018,0.15,0.03,0.037,0.008,0.05,0.01,0.01,7.47,0.68,0.15,8.3,60.71,2.63,1.59,0.04,0.17,0.05,0.04,0.01,0.07,0.01,0.01,7.49,0.76,0.18,8.44
30241,CBS04,17.0,17.5,0.5,19.3,80.7,0.240,,,,61.12,2.51,1.44,0.032,0.13,0.05,0.036,0.016,0.06,0.01,0.01,7.17,0.71,0.18,8.06,63.01,1.54,0.67,0.015,0.09,0.02,0.028,0.01,0.03,0.01,0.01,6.55,0.57,0.13,7.25,61.49,2.32,1.29,0.03,0.12,0.04,0.03,0.01,0.05,0.01,0.01,7.05,0.68,0.17,7.90
30242,CBS04,17.5,18.1,0.6,18.2,81.8,0.223,,,,58.98,3.61,2.18,0.051,0.29,0.07,0.05,0.015,0.11,0.02,0.01,8.07,0.89,0.2,9.16,61.12,2.26,1.18,0.027,0.16,0.03,0.044,0.011,0.06,0.01,0.01,7.71,0.7,0.14,8.55,59.37,3.36,2.00,0.05,0.27,0.06,0.05,0.01,0.10,0.01,0.01,8.00,0.86,0.19,9.05
30243,CBS04,18.1,18.6,0.5,16.7,83.3,0.201,,,,,,,,,,,,,,,,,,0.0,59.18,4.31,1.08,0.021,0.19,0.04,0.048,0.012,0.06,0.0,0.01,8.52,0.74,0.16,9.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30244,CBS04,18.6,19.1,0.5,11.9,88.1,0.136,,,,,,,,,,,,,,,,,,0.0,59.75,3.14,1.14,0.029,0.3,0.03,0.039,0.008,0.07,0.0,0.01,8.55,0.76,0.21,9.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30245,CBS04,19.1,19.6,0.5,15.8,84.2,0.187,,,,,,,,,,,,,,,,,,0.0,60.46,2.67,1.12,0.025,0.13,0.05,0.04,0.015,0.06,0.0,0.01,8.27,0.75,0.15,9.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30246,CBS04,19.6,20.1,0.5,0.0,-,-,,,,,,,,,,,,,,,,,,0.0,61.14,2.34,0.96,0.018,0.09,0.03,0.034,0.008,0.05,0.0,0.01,7.9,0.61,0.26,8.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30247,CBS04,20.1,20.5,0.4,20.0,80.0,0.251,,,,,,,,,,,,,,,,,,0.0,60.94,2.04,0.91,0.019,0.07,0.03,0.034,0.008,0.06,0.01,0.0,8.76,0.75,0.15,9.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30248,CBS04,,,0.0,19.4,80.6,0.240,,,,,,,,,,,,,,,,,,0.0,60.4,2.29,1.13,0.017,0.08,0.03,0.038,0.012,0.05,0.0,0.0,9.01,0.83,0.11,9.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30249,CBS04,21.1,21.5,0.4,0.0,-,-,,,,,,,,,,,,,,,,,,0.0,59.47,3.06,1.26,0.026,0.1,0.03,0.05,0.017,0.06,0.0,0.01,9.42,0.83,0.14,10.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30250,CBS04,21.5,22.2,0.7,0.0,-,-,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30251,CBS04,22.2,22.8,0.6,23.1,76.9,0.301,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30252,CBS04,22.8,23.4,0.6,18.1,81.9,0.221,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30253,CBS04,23.4,23.9,0.5,23.8,76.2,0.312,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30317,CBS05,28.3,28.5,0.2,19.9,80.1,0.248,,,,,,,,,,,,,,,,,,0.0,58.75,5.27,1.52,0.042,0.19,0.02,0.04,0.015,0.09,0.01,0.01,7.52,0.79,0.16,8.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30318,CBS05,28.5,29.0,0.5,18.6,81.4,0.228,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30319,CBS05,29.0,29.5,0.5,21.2,78.8,0.269,,,,56.13,5.74,3.91,0.151,0.24,0.03,0.038,0.019,0.11,0.05,0.02,7.71,1.42,0.27,9.4,61.67,2.35,0.76,0.021,0.13,-0.01,0.028,0.007,0.02,0.01,0.01,7.5,0.66,0.1,8.26,57.30,5.02,3.24,0.12,0.22,0.02,0.04,0.02,0.09,0.04,0.02,7.67,1.26,0.23,9.16
30320,CBS05,29.5,30.0,0.5,23.8,76.2,0.313,,,,58.32,4.24,2.76,0.094,0.18,0.02,0.032,0.017,0.08,0.05,0.01,7.78,1.14,0.22,9.14,62.75,1.59,0.54,0.015,0.14,-0.01,0.022,0.007,0.01,0.01,0.01,7.11,0.58,0.09,7.78,59.38,3.61,2.23,0.08,0.17,0.01,0.03,0.01,0.06,0.04,0.01,7.62,1.01,0.19,8.82
30321,CBS05,30.0,30.3,0.3,22.6,77.4,0.293,,,,58.88,3.71,2.3,0.079,0.16,0.02,0.037,0.023,0.07,0.04,0.01,8.12,1.02,0.22,9.36,62.28,1.89,0.61,0.015,0.13,-0.01,0.027,0.009,0.02,0.01,0.0,7.31,0.63,0.14,8.07,59.65,3.30,1.92,0.06,0.15,0.01,0.03,0.02,0.06,0.03,0.01,7.94,0.93,0.20,9.07
30322,CBS05,30.3,30.5,0.2,21.2,78.8,0.269,,,,59.44,3.39,2.13,0.076,0.12,0.02,0.037,0.017,0.07,0.03,0.01,8.03,0.98,0.2,9.21,62.42,1.9,0.56,0.019,0.09,0.0,0.028,0.009,0.01,0.01,0.01,7.16,0.62,0.12,7.9,60.07,3.07,1.80,0.06,0.11,-,0.04,0.02,0.06,0.03,0.01,7.85,0.90,0.18,8.93
30323,CBS05,30.5,31.2,0.7,0.0,-,-,,,,59.50,3.4,2.28,0.083,0.12,0.02,0.037,0.016,0.07,0.04,0.01,7.64,0.98,0.18,8.8,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30324,CBS05,31.2,31.7,0.5,21.4,78.6,0.272,,,,60.13,3.07,1.98,0.069,0.13,0.02,0.033,0.015,0.07,0.03,0.01,7.55,0.93,0.16,8.64,63.45,1.26,0.5,0.019,0.1,0.0,0.025,0.012,0.0,0.01,0.0,6.72,0.57,0.1,7.39,60.84,2.68,1.66,0.06,0.12,-,0.03,0.01,-,0.03,0.01,7.37,0.85,0.15,8.37
30325,CBS05,31.7,32.2,0.5,22.9,77.1,0.298,,,,60.16,2.93,1.91,0.074,0.14,0.02,0.035,0.016,0.06,0.03,0.01,7.9,0.91,0.15,8.96,62.73,1.33,0.48,0.018,0.1,0.0,0.025,0.009,0.01,0.01,0.0,7.34,0.61,0.12,8.07,60.75,2.56,1.58,0.06,0.13,-,0.03,0.01,0.05,0.03,-,7.77,0.84,0.14,8.76
30326,CBS05,32.2,32.8,0.6,25.7,74.3,0.346,,,,60.92,2.3,1.42,0.051,0.14,0.0,0.035,0.016,0.05,0.02,0.01,7.89,0.79,0.12,8.8,62.79,1.38,0.52,0.017,0.11,0.01,0.026,0.012,0.02,0.0,0.0,7.0,0.58,0.11,7.69,61.40,2.06,1.19,0.04,0.13,-,0.03,0.01,0.04,0.02,0.01,7.66,0.74,0.12,8.51
30327,CBS05,,,0.0,21.5,78.5,0.275,,,,61.34,2.41,1.33,0.052,0.14,0.02,0.037,0.017,0.03,0.02,0.0,7.39,0.72,0.18,8.29,62.49,2.12,0.6,0.018,0.11,0.0,0.028,0.008,0.04,0.01,0.0,7.03,0.51,0.13,7.67,61.59,2.35,1.17,0.04,0.13,-,0.03,0.02,0.03,0.02,0.00,7.31,0.67,0.17,8.16
30328,CBS05,32.8,33.2,0.4,28.3,71.7,0.394,,,,59.21,3.71,2.34,0.093,0.16,0.02,0.038,0.021,0.08,0.04,0.01,7.74,0.96,0.16,8.86,63.4,1.33,0.52,0.021,0.08,0.0,0.025,0.012,0.0,0.01,0.0,6.71,0.53,0.18,7.42,60.39,3.04,1.83,0.07,0.14,-,0.03,0.02,-,0.03,0.01,7.45,0.84,0.17,8.45
30329,CBS05,33.2,33.5,0.3,28.3,71.7,0.395,,,,59.34,3.13,1.97,0.073,0.17,0.03,0.046,0.03,0.05,0.03,0.0,8.1,0.9,0.2,9.2,62.36,2.21,0.54,0.019,0.1,0.0,0.029,0.011,0.0,0.01,0.01,7.02,0.6,0.12,7.74,60.20,2.87,1.56,0.06,0.15,-,0.04,0.02,-,0.02,0.01,7.79,0.81,0.18,8.79
30330,CBS05,33.5,33.9,0.4,24.3,75.7,0.320,,,,59.55,2.95,2.1,0.07,0.14,0.02,0.044,0.032,0.07,0.03,0.03,8.17,0.86,0.17,9.2,62.38,1.9,0.66,0.019,0.1,0.0,0.031,0.012,0.01,0.01,0.0,7.13,0.62,0.13,7.88,60.24,2.70,1.75,0.06,0.13,-,0.04,0.03,0.06,0.02,0.02,7.92,0.80,0.16,8.88
30331,CBS05,33.9,34.3,0.4,24.3,75.7,0.320,,,,60.91,2.45,1.79,0.067,0.14,0.01,0.051,0.026,0.06,0.02,0.01,7.53,0.76,0.17,8.46,62.85,1.36,0.56,0.016,0.11,0.0,0.032,0.014,0.0,0.01,0.0,6.97,0.61,0.12,7.7,61.38,2.19,1.49,0.05,0.13,-,0.05,0.02,-,0.02,-,7.39,0.72,0.16,8.28
30332,CBS05,34.3,34.7,0.4,23.4,76.6,0.305,,,,60.91,2.45,1.79,0.067,0.14,0.01,0.051,0.026,0.06,0.02,0.01,7.53,0.76,0.17,8.46,62.96,1.55,0.6,0.018,0.12,0.01,0.035,0.019,0.03,0.01,0.02,6.44,0.56,0.12,7.12,61.39,2.24,1.51,0.06,0.14,0.01,0.05,0.02,0.05,0.02,0.01,7.28,0.71,0.16,8.15
30333/30334,CBS05,34.7,35.2,0.5,18.7,81.3,0.230,,,,60.48,2.98,2.2,0.072,0.13,0.01,0.059,0.025,0.06,0.02,0.02,6.93,0.84,0.19,7.96,61.86,1.78,0.95,0.023,0.15,0.02,0.039,0.013,0.02,0.01,0.01,7.44,0.7,0.16,8.3,60.74,2.76,1.97,0.06,0.13,0.01,0.06,0.02,0.05,0.01,0.02,7.03,0.81,0.18,8.02
30335,CBS05,,,0.0,15.1,84.9,0.178,,,,60.46,2.98,2.05,0.058,0.15,0.02,0.06,0.027,0.05,0.01,0.01,6.88,0.8,0.19,7.86,62.18,2.49,1.18,0.029,0.13,0.0,0.048,0.021,0.02,0.01,0.0,6.38,0.64,0.15,7.17,60.72,2.91,1.91,0.05,0.15,-,0.06,0.03,0.05,0.01,-,6.80,0.77,0.18,7.76
30336,CBS05,35.7,36.2,0.5,15.3,84.7,0.180,,,,61.09,2.66,1.76,0.049,0.14,0.0,0.063,0.024,0.06,0.01,0.01,6.96,0.7,0.19,7.85,62.93,1.75,0.86,0.019,0.13,0.0,0.049,0.013,0.02,0.01,0.0,6.49,0.58,0.14,7.21,61.37,2.52,1.62,0.04,0.14,-,0.06,0.02,0.05,0.01,0.01,6.89,0.68,0.18,7.75
30337,CBS05,36.2,36.4,0.2,17.6,82.4,0.213,,,,61.79,2.26,1.56,0.054,0.14,0.0,0.071,0.019,0.04,0.01,0.01,6.72,0.63,0.15,7.5,63.21,1.68,0.73,0.019,0.11,0.0,0.046,0.012,0.0,0.01,0.0,6.13,0.54,0.12,6.79,62.04,2.16,1.41,0.05,0.13,-,0.07,0.02,-,0.01,0.01,6.62,0.61,0.14,7.38
30338,CBS05,36.4,36.8,0.4,0.0,-,-,,,,61.47,2.25,1.61,0.06,0.13,0.0,0.072,0.02,0.04,0.01,0.01,6.91,0.68,0.22,7.81,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30339,CBS05,,,0.0,18.0,82.0,0.219,,,,60.91,2.56,1.69,0.055,0.12,0.02,0.067,0.02,0.05,0.02,0.01,7.38,0.73,0.22,8.33,62.97,1.66,0.64,0.018,0.09,0.0,0.044,0.01,0.0,0.01,0.01,6.81,0.57,0.12,7.5,61.28,2.40,1.50,0.05,0.11,-,0.06,0.02,-,0.02,0.01,7.28,0.70,0.20,8.18
30340,CBS05,37.1,37.3,0.2,21.1,78.9,0.267,,,,60.21,3.13,1.99,0.073,0.14,0.02,0.066,0.022,0.05,0.02,0.02,7.39,0.79,0.23,8.41,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30341,CBS05,37.3,37.5,0.2,12.9,87.1,0.147,,,,57.71,4.83,3.06,0.097,0.24,0.02,0.067,0.038,0.06,0.02,0.02,7.74,1.12,0.25,9.11,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30342,CBS05,37.5,37.9,0.4,15.5,84.5,0.184,,,,58.59,3.81,2.4,0.073,0.28,0.02,0.068,0.039,0.06,0.02,0.02,8.17,0.96,0.23,9.35,60.86,2.81,0.69,0.016,0.16,0.0,0.045,0.012,0.0,0.01,0.01,8.06,0.63,0.14,8.83,58.94,3.65,2.13,0.06,0.26,-,0.06,0.03,-,0.02,0.01,8.15,0.90,0.21,9.27
30343,CBS05,37.9,38.0,0.1,16.7,83.3,0.200,,,,59.24,3.49,2.16,0.06,0.24,0.02,0.07,0.029,0.06,0.02,0.01,8.04,0.88,0.21,9.13,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30344,CBS05,38.0,38.3,0.3,20.3,79.7,0.255,,,,59.57,3.3,1.96,0.062,0.29,0.02,0.07,0.029,0.05,0.02,0.02,7.57,0.82,0.21,8.6,62.09,2.58,0.69,0.019,0.2,0.0,0.045,0.011,0.0,0.01,0.0,6.76,0.6,0.15,7.51,60.08,3.15,1.70,0.05,0.27,-,0.06,0.03,-,0.02,0.01,7.41,0.78,0.20,8.38
30345,CBS05,38.3,38.7,0.4,16.9,83.1,0.203,,,,59.69,2.97,1.86,0.063,0.35,0.01,0.072,0.034,0.06,0.02,0.02,7.76,0.79,0.22,8.77,61.79,2.89,0.73,0.021,0.17,0.01,0.045,0.012,0.02,0.01,0.0,6.96,0.6,0.17,7.73,60.04,2.96,1.67,0.06,0.32,0.01,0.07,0.03,0.05,0.02,0.02,7.62,0.76,0.21,8.59
30346,CBS05,38.7,39.0,0.3,23.7,76.3,0.310,,,,59.00,3.99,1.68,0.059,0.32,0.02,0.064,0.101,0.05,0.02,0.02,7.56,0.71,0.35,8.62,62.28,1.58,0.63,0.019,0.32,0.02,0.044,0.015,0.03,0.02,0.0,6.91,0.62,0.19,7.72,59.78,3.42,1.43,0.05,0.32,0.02,0.06,0.08,0.05,0.02,-,7.41,0.69,0.31,8.41
30367,CBS06,9.2,9.3,0.1,0.0,-,-,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30368,CBS06,9.3,9.8,0.5,16.9,83.1,0.203,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
